FeatureCode,DateCode,Measurement,Units,Value,Gender,Population Group
S12000021,2003,Median,Pounds (GBP),294.2,Female,Residence Based
S12000021,2004,Median,Pounds (GBP),302.6,Female,Residence Based
S12000021,2011,Median,Pounds (GBP),399.3,Female,Residence Based
S12000021,2010,Median,Pounds (GBP),379.8,Female,Residence Based
S12000021,2012,Median,Pounds (GBP),396.4,Female,Residence Based
S12000021,2008,Median,Pounds (GBP),380.4,Female,Residence Based
S12000021,2009,Median,Pounds (GBP),360.8,Female,Residence Based
S12000021,2012,Median,Pounds (GBP),459.2,All,Residence Based
S12000021,2011,Median,Pounds (GBP),487.2,All,Residence Based
S12000042,2012,Median,Pounds (GBP),399.6,Female,Residence Based
S12000021,2009,Median,Pounds (GBP),426.1,All,Residence Based
S12000021,2010,Median,Pounds (GBP),470.5,All,Residence Based
S12000021,2001,Median,Pounds (GBP),252.2,Female,Residence Based
S12000042,2009,Median,Pounds (GBP),362.3,Female,Residence Based
S12000021,2002,Median,Pounds (GBP),282.1,Female,Residence Based
S12000042,2011,Median,Pounds (GBP),397.9,Female,Residence Based
S12000042,2010,Median,Pounds (GBP),392.4,Female,Residence Based
S12000021,2006,Median,Pounds (GBP),459.9,Male,Residence Based
S12000021,2005,Median,Pounds (GBP),460.2,Male,Residence Based
S12000021,2007,Median,Pounds (GBP),475.1,Male,Residence Based
S12000021,2003,Median,Pounds (GBP),424.8,Male,Residence Based
S12000021,2004,Median,Pounds (GBP),434.9,Male,Residence Based
S12000021,2011,Median,Pounds (GBP),523,Male,Residence Based
S12000021,2010,Median,Pounds (GBP),518.5,Male,Residence Based
S12000021,2012,Median,Pounds (GBP),520.7,Male,Residence Based
S12000021,2008,Median,Pounds (GBP),496.3,Male,Residence Based
S12000021,2009,Median,Pounds (GBP),473.4,Male,Residence Based
S12000042,2005,Median,Pounds (GBP),343.6,Female,Residence Based
S12000042,2006,Median,Pounds (GBP),334.2,Female,Residence Based
S12000042,2004,Median,Pounds (GBP),309.2,Female,Residence Based
S12000042,2008,Median,Pounds (GBP),382.4,Female,Residence Based
S12000042,2007,Median,Pounds (GBP),362.6,Female,Residence Based
S12000021,2001,Median,Pounds (GBP),428.9,Male,Residence Based
S12000042,2001,Median,Pounds (GBP),271.7,Female,Residence Based
S12000021,2002,Median,Pounds (GBP),420.4,Male,Residence Based
S12000042,2003,Median,Pounds (GBP),302.9,Female,Residence Based
